region,x,y
Вінницька,-142,40
Волинська,-351,265
Луганська,494,63
Дніпропетровська,203,-33
Донецька,424,-24
Житомирська,-159,202
Закарпатська,-481,20
Запорізька,306,-118
Івано-Франківська,-390,31
Київська,-29,160
Кіровоградська,72,-13
Автономна Республіка Крим,213,-291
Львівська,-426.0,133.0
Миколаївська,53,-103
Одеська,-45,-132
Полтавська,173,118
Рівненська,-243,265
Сумська,190,235
Тернопільська,-323,92
Харківська,338,114
Херсонська,168,-166
Хмельницька,-238,95
Черкаська,18,55
Чернігівська,56,264
Чернівецька,-315,-19
